,activation,batch_size,input_keep_prob,layers_units,num_epochs,output_keep_prob,patience,rnn_unit_type,sliding_decoder,sliding_encoder,state_keep_prob,variational_recurrent,columns_full,data_directory,data_name,features
2013,tanh,32,1,"[64, 32]",1000,0.5,20,lstm,4,12,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2014,tanh,32,1,"[8, 4]",1000,1,20,lstm,4,12,0.8,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2015,tanh,64,1,[4],1000,1,20,lstm,5,6,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2016,tanh,32,1,"[8, 4]",1000,1,20,gru,4,24,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2017,tanh,32,1,[32],1000,1,20,lstm,4,18,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2018,tanh,32,1,"[16, 8]",1000,1,20,lstm,5,12,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2019,tanh,32,1,"[8, 4]",1000,1,20,lstm,5,12,0.8,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2020,tanh,32,1,"[16, 8]",1000,1,20,lstm,3,18,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2021,tanh,32,1,"[16, 8]",1000,1,20,gru,5,12,0.8,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2022,tanh,32,1,"[16, 8]",1000,1,20,lstm,4,18,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2023,tanh,32,1,"[64, 32]",1000,1,20,lstm,5,12,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2024,tanh,32,1,"[8, 4]",1000,1,20,lstm,4,6,1,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2025,tanh,16,1,[8],1000,1,20,gru,5,24,0.5,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2026,tanh,32,1,"[64, 32]",1000,1,20,gru,3,18,0.5,FALSE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
2027,tanh,32,1,"[8, 4]",1000,1,20,gru,4,18,1,TRUE,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]"
